date,region,country,confirmed,deaths,recovered
20.02.21,Puntarenas,Canada,1,0,0
11.11.21,Gelderland,Netherlands,6,1,2
17.09.21,Magdalena,United Kingdom,11,2,4
03.05.21,Cajamarca,Canada,16,3,6
05.01.22,West Papua,Nigeria,21,4,8
13.05.21,Kirov Oblast,Australia,26,5,10
09.07.20,North West,United States,31,6,12
17.08.21,Northern Mindanao,Costa Rica,36,7,14
01.01.22,Cagayan Valley,Singapore,41,8,16
07.05.21,West-Vlaanderen,China,46,9,18
01.08.21,Ulster,Singapore,51,10,20
14.11.21,Languedoc-Roussillon,Austria,56,11,22
15.08.21,Minnesota,Norway,61,12,24
18.01.21,Gangwon,Australia,66,13,26
11.11.20,Viken,Netherlands,71,14,28
22.09.21,British Columbia,United States,76,15,30
28.10.21,Yorkshire,Canada,81,16,32
17.06.21,Nord-Pas-de-Calais,Belgium,86,17,34
30.04.21,Northwest Territories,Norway,91,18,36
19.04.21,Xīběi,Costa Rica,96,19,38
09.05.20,Leinster,Nigeria,101,20,40
14.12.21,Castilla - La Mancha,Italy,106,21,42
27.12.20,Western Cape,China,111,22,44
13.11.20,An Giang,China,116,23,46
05.11.20,Orenburg Oblast,Russian Federation,121,24,48
28.04.21,Innlandet,Colombia,126,25,50
18.12.21,Córdoba,Austria,131,26,52
20.06.20,Gorontalo,Australia,136,27,54
03.02.21,Oslo,Austria,141,28,56
29.01.21,Leinster,Vietnam,146,29,58
07.06.21,Jönköpings län,India,151,30,60
16.02.21,Kherson oblast,Australia,156,31,62
26.12.20,Munster,Spain,161,32,64
07.01.21,Delta,Vietnam,166,33,66
17.11.21,Los Ríos,Austria,171,34,68
05.09.21,North Gyeongsang,Turkey,176,35,70
17.06.21,Berlin,Germany,181,36,72
30.10.20,Friesland,Indonesia,186,37,74
24.02.21,Veracruz,Vietnam,191,38,76
26.07.20,Haryana,Sweden,196,39,78
25.02.21,Western Australia,Philippines,201,40,80
17.04.21,Zachodniopomorskie,Costa Rica,206,41,82
15.07.21,Xīběi,Spain,211,42,84
18.05.21,Piura,Vietnam,216,43,86
09.06.20,Bangsamoro,Norway,221,44,88
02.10.21,Warmińsko-mazurskie,South Africa,226,45,90
09.01.21,KwaZulu-Natal,China,231,46,92
26.10.21,Burgenland,Costa Rica,236,47,94
09.07.20,Yucatán,Turkey,241,48,96
31.01.21,San José,South Korea,246,49,98
05.05.21,Aisén,Belgium,251,50,100
30.04.21,Minas Gerais,South Africa,256,51,102
10.03.21,Zhytomyr oblast,Norway,261,52,104
23.07.21,Madrid,Austria,266,53,106
25.02.21,Davao Region,Germany,271,54,108
29.07.21,Norte de Santander,South Korea,276,55,110
14.09.20,Free State,Netherlands,281,56,112
02.11.21,New Brunswick,Indonesia,286,57,114
25.08.21,Northwest Territories,China,291,58,116
11.06.21,Cauca,United States,296,59,118
05.03.21,Khyber Pakhtoonkhwa,Netherlands,301,60,120
26.03.21,Guaviare,India,306,61,122
16.08.21,North Island,Australia,311,62,124
08.05.20,Derbyshire,Austria,316,63,126
30.08.20,San José,Peru,321,64,128
10.12.20,Jönköpings län,France,326,65,130
18.11.20,Dadra and Nagar Haveli,United States,331,66,132
08.12.20,Magallanes y Antártica Chilena,Turkey,336,67,134
05.02.21,Baja California,Italy,341,68,136
02.08.21,Manitoba,Spain,346,69,138
01.01.21,Dōngběi,Austria,351,70,140
08.12.21,Kerala,United States,356,71,142
01.09.21,Agder,Netherlands,361,72,144
01.08.20,Baja California,India,366,73,146
29.01.21,Corse,Singapore,371,74,148
10.08.20,Lambayeque,Indonesia,376,75,150
14.08.20,Caithness,Australia,381,76,152
03.12.20,Swiętokrzyskie,Philippines,386,77,154
14.01.22,Stockholms län,United Kingdom,391,78,156
27.09.20,Vlaams-Brabant,United States,396,79,158
20.08.21,Veneto,Sweden,401,80,160
13.12.20,Punjab,Chile,406,81,162
23.01.22,Veneto,Nigeria,411,82,164
02.09.20,Arica y Parinacota,Canada,416,83,166
21.12.21,Aydın,Italy,421,84,168
25.05.20,Rheinland-Pfalz,United Kingdom,426,85,170
23.02.21,South Island,Philippines,431,86,172
22.06.20,San José,Indonesia,436,87,174
02.10.20,Styria,Philippines,441,88,176
08.04.21,Adana,Russian Federation,446,89,178
16.02.22,New Brunswick,Peru,451,90,180
14.01.21,Northern Territory,Costa Rica,456,91,182
11.01.21,Arica y Parinacota,New Zealand,461,92,184
29.11.20,Puntarenas,New Zealand,466,93,186
15.01.22,North Region,Chile,471,94,188
14.12.21,Auvergne,South Africa,476,95,190
22.07.20,Puglia,Indonesia,481,96,192
12.06.20,Nottinghamshire,Italy,486,97,194
30.07.21,Kogi,Singapore,491,98,196
31.08.20,North West,New Zealand,496,99,198
09.08.20,North Island,Poland,501,100,200
28.09.20,Nordland,Peru,506,101,202
20.05.21,Auvergne,United States,511,102,204
25.07.20,Lakshadweep,Brazil,516,103,206
29.11.21,Ulster,Spain,521,104,208
04.04.21,Maine,Norway,526,105,210
